买量,买价,最新价,卖价,卖量,持仓量,振幅,涨跌幅,行权价
13,0.1511,0.1512,0.1515,1,2038,0.2562,-0.3811,2.45
2,0.1188,0.1205,0.1193,1,1643,0.346,-0.4145,2.5
1,0.0936,0.0939,0.094,30,3904,0.281,-0.4411,2.55
1,0.0713,0.0712,0.0715,2,5586,0.2978,-0.4726,2.6
20,0.0532,0.0533,0.0533,5,8821,0.3088,-0.5042,2.65
1,0.0384,0.0385,0.0385,47,5840,0.3236,-0.5316,2.7
21,0.0283,0.0283,0.0284,1,6393,0.329,-0.5435,2.75
1,0.02,0.02,0.0205,3,5865,0.3772,-0.5536,2.8
91,0.014,0.014,0.0141,1,10722,0.3515,-57.58%,2.85
